,bathrooms,bedrooms,features,interest_level,latitude,listing_id,longitude,photos,price,created_month,created_day
10,1.5,3,0,medium,40.7145,7211212,-73.9425,5,3000.0,6,24
10000,1.0,2,5,low,40.7947,7150865,-73.9667,11,5465.0,6,12
100004,1.0,1,4,high,40.7388,6887163,-74.0018,8,2850.0,4,17
100007,1.0,1,2,low,40.7539,6888711,-73.9677,3,3275.0,4,18
100013,1.0,4,1,low,40.8241,6934781,-73.9493,3,3350.0,4,28
100014,2.0,4,0,medium,40.7429,6894514,-74.0028,5,7995.0,4,19
100016,1.0,2,8,low,40.8012,6930771,-73.966,10,3600.0,4,27
100020,2.0,1,8,low,40.7427,6867392,-73.9957,5,5645.0,4,13
100026,1.0,1,4,medium,40.8234,6898799,-73.9457,5,1725.0,4,20
100027,2.0,4,2,low,40.7278,6814332,-73.9808,9,5800.0,4,2
100030,1.0,0,0,low,40.7769,6869199,-73.9467,1,1950.0,4,14
10004,1.0,1,7,low,40.8448,7102986,-73.9396,5,1675.0,6,3
100044,1.0,2,4,high,40.7488,6895442,-73.977,4,3000.0,4,19
100048,2.0,2,6,low,40.7707,6846213,-73.9817,6,6895.0,4,9
10005,1.0,1,5,low,40.7584,7089402,-73.9648,6,3050.0,6,1
100051,1.0,0,5,medium,40.7439,6889043,-73.9743,2,2350.0,4,18
100052,1.0,2,1,low,40.7305,6913348,-73.983,5,3650.0,4,22
100053,1.0,1,5,low,40.862047,6894111,-73.928,8,1695.0,4,19
100055,1.0,4,3,low,40.7999,6900220,-73.9638,0,5000.0,4,20
100058,1.0,1,2,low,40.7328,6848536,-73.9799,20,3973.0,4,9
100062,1.0,3,4,low,40.7454,6858062,-73.9845,6,4395.0,4,12
100063,1.0,2,9,medium,40.7427,6836760,-73.9794,5,2999.0,4,7
100065,1.0,1,2,low,40.7447,6866830,-73.9741,0,2595.0,4,13
100066,1.0,1,10,low,40.7074,6885927,-74.0081,4,3695.0,4,17
10007,2.0,4,12,medium,40.7391,7120132,-73.9936,6,7400.0,6,7
100071,3.0,4,12,low,40.7584,6933499,-73.9653,7,7500.0,4,27
100075,1.0,1,3,medium,40.7728,6921632,-73.9502,6,2295.0,4,25
100076,1.0,1,8,low,40.7709,6913084,-73.9917,6,3164.0,4,22
100079,1.0,1,0,high,40.8335,6907079,-73.9141,1,1350.0,4,21
100081,2.0,2,8,low,40.7716,6925264,-73.9506,1,5600.0,4,26
100083,1.0,0,6,medium,40.7897,6904268,-73.976,4,2750.0,4,21
100084,1.0,2,13,medium,40.7902,6821944,-73.9678,8,3500.0,4,4
100085,1.0,1,6,low,40.7179,6912559,-74.0148,5,5165.0,4,22
100087,1.0,2,6,low,40.7301,6898884,-73.9942,6,4400.0,4,20
10009,1.0,2,4,low,40.844,7176319,-73.9404,5,2300.0,6,17
100090,1.0,1,6,low,40.79,6890107,-73.9418,3,1650.0,4,18
100096,1.0,0,6,low,40.8184,6821706,-73.9389,3,1300.0,4,4
100098,1.0,0,6,high,40.7649,6885742,-73.9763,2,1980.0,4,17
100099,2.0,2,8,low,40.7471,6832226,-73.9867,6,6500.0,4,6
10010,1.0,0,14,medium,40.753,7230670,-73.9959,4,2396.0,6,29
100100,1.0,3,1,low,40.7231,6890563,-74.0044,11,3733.0,4,18
100102,3.0,4,17,low,40.7723,6860485,-73.9533,5,13000.0,4,12
100107,1.0,0,7,medium,40.7753,6896742,-73.954,7,2400.0,4,19
100112,1.0,0,6,medium,40.7739,6942606,-73.9511,5,1850.0,4,29
100113,1.0,1,2,low,40.8031,6846026,-73.957,5,2500.0,4,9
100115,1.0,1,2,medium,40.7975,6923614,-73.9626,5,2045.0,4,25
100117,1.0,0,5,low,40.7372,6941997,-73.9981,5,2650.0,4,29
100119,1.0,2,8,low,40.7479,6846938,-74.0005,4,3745.0,4,9
10012,1.0,1,0,low,40.7802,7190105,-73.9504,16,1900.0,6,21
100124,1.0,2,13,low,40.7377,6856713,-73.9831,4,5595.0,4,11
100127,1.0,1,3,low,40.7263,6908135,-73.8573,15,1750.0,4,21
100129,1.0,1,1,medium,40.7267,6944369,-73.8569,9,1650.0,4,30
100131,1.0,0,6,low,40.7817,6861960,-73.9573,6,3500.0,4,12
100132,1.0,1,9,low,40.789,6847390,-73.9756,7,3300.0,4,9
100133,1.0,0,5,low,40.7522,6816227,-73.9702,4,2790.0,4,2
100136,2.0,2,0,medium,40.7059,6859368,-73.852651,20,2100.0,4,12
100137,1.0,2,3,medium,40.7943,6907631,-73.9675,6,3200.0,4,21
100138,1.0,0,0,low,40.7699,6923973,-73.9565,0,2700.0,4,26
100139,1.0,3,8,medium,40.766,6927880,-73.9914,9,4500.0,4,26
10014,1.0,1,2,low,40.6888,7127110,-73.9522,5,2000.0,6,8
100140,1.0,2,0,medium,40.7493,6916033,-73.852651,10,1900.0,4,23
100141,1.0,1,5,medium,40.7892,6900939,-73.9705,5,3200.0,4,20
100144,1.0,0,7,low,40.7571,6866313,-73.9647,7,2290.0,4,13
100149,1.0,2,6,low,40.7299,6854532,-73.9819,2,3895.0,4,11
100151,1.0,1,4,high,40.7796,6946257,-73.9493,5,2200.0,4,30
100156,1.0,1,4,low,40.7459,6878074,-73.9564,0,3200.0,4,15
100160,1.0,1,7,low,40.7467,6879306,-73.9854,8,4455.0,4,15
100161,1.0,1,9,low,40.7619,6891766,-73.9854,0,3697.0,4,19
100166,2.0,2,8,high,40.7341,6844733,-73.9896,6,5700.0,4,8
100170,1.0,2,10,medium,40.7413,6932777,-73.9779,5,3400.0,4,27
100172,1.0,1,13,low,40.7351,6875163,-73.9531,11,2550.0,4,15
100175,1.0,2,3,low,40.8028,6892631,-73.9648,5,3200.0,4,19
100177,2.0,3,10,low,40.7196,6851714,-74.0109,7,6320.0,4,10
100179,1.0,1,4,low,40.7777,6890772,-73.9532,0,2945.0,4,18
100181,2.0,2,9,low,40.7087,6899196,-74.0058,7,4600.0,4,20
100182,2.0,2,5,low,40.7924,6889430,-73.9741,18,7800.0,4,18
100184,2.0,2,11,low,40.7756,6870967,-73.9846,11,7000.0,4,14
100185,1.0,2,13,medium,40.7054,6868139,-74.0095,5,3250.0,4,13
100188,1.0,0,0,high,40.7108,6877460,-73.8543,3,1400.0,4,15
100193,1.0,1,8,low,40.7802,6940305,-73.9444,8,3195.0,4,29
100196,1.0,1,1,high,40.664,6869315,-73.9342,3,1495.0,4,14
100198,1.0,1,7,low,40.7349,6818183,-73.9863,6,3850.0,4,3
1002,1.0,0,0,low,40.7617,7208829,-73.9626,5,2625.0,6,24
10020,1.0,3,1,high,40.8394,7147322,-73.9381,6,2500.0,6,12
100200,1.0,2,3,low,40.7931,6897676,-73.9715,0,3095.0,4,20
100203,3.0,4,6,low,40.7788,6848778,-73.9538,9,13000.0,4,9
100205,1.0,2,1,low,40.6578,6846405,-73.9259,5,1700.0,4,9
100206,1.0,0,3,medium,40.769,6828553,-73.9541,5,1850.0,4,6
100209,1.0,2,2,high,40.6633,6819930,-73.9824,2,2050.0,4,4
10021,1.0,1,10,low,40.7762,7091995,-73.9592,5,4000.0,6,1
100213,1.0,0,1,low,40.7604,6882553,-73.9617,4,1950.0,4,16
100214,1.0,1,2,low,40.778,6875784,-73.9774,5,2750.0,4,15
100215,2.0,3,5,low,40.7801,6929175,-73.9803,2,4900.0,4,27
100216,1.0,3,7,medium,40.7447,6864916,-74.0052,11,6500.0,4,13
100219,1.0,2,3,medium,40.6896,6872659,-73.9982,0,2300.0,4,14
100221,1.0,2,0,low,40.7306,6883194,-73.852651,1,2350.0,4,16
100222,1.0,2,4,low,40.7318,6889329,-74.0016,3,3900.0,4,18
100224,1.0,3,13,high,40.7594,6911693,-73.9712,5,4000.0,4,22
100227,2.0,3,12,medium,40.748,6933506,-73.9572,6,3850.0,4,27
100233,1.0,1,3,low,40.7681,6907978,-73.9858,1,3995.0,4,21
100234,1.0,2,0,medium,40.6404,6866364,-74.0162,5,2000.0,4,13
100235,2.0,2,5,low,40.7161,6944517,-73.9548,8,4823.0,4,30
100237,1.0,1,6,low,40.7676,6875769,-73.9577,6,2700.0,4,15
100240,1.0,1,8,medium,40.7073,6830093,-74.0046,3,2695.0,4,6
100241,1.0,1,0,low,40.6404,6914141,-73.9617,4,1800.0,4,23
100243,1.0,2,2,low,40.7426,6885991,-73.979,3,3295.0,4,17
100245,1.0,0,3,low,40.7793,6817707,-73.9496,0,1725.0,4,3
100246,1.0,1,1,low,40.7216,6890059,-73.9423,5,2250.0,4,18
100247,1.0,1,3,low,40.7802,7121934,-73.9504,4,2300.0,4,2
100248,1.0,1,8,low,40.7128,6822355,-74.0059,6,3400.0,4,4
100250,1.0,2,3,low,40.7763,6924176,-73.9518,2,3050.0,4,26
100251,1.5,2,0,low,40.7676,6886300,-73.9813,6,6500.0,4,17
100253,2.0,2,1,low,40.6404,6856146,-73.9686,0,3250.0,4,11
100254,2.0,2,5,low,40.7777,6869981,-73.9883,4,5020.0,4,14
100256,1.0,2,3,low,40.8034,6934541,-73.9661,4,3200.0,4,28
100259,1.0,1,0,medium,40.7133,6943997,-73.9395,7,2199.0,4,29
100260,1.0,2,1,high,40.862047,6851019,-73.9251,7,1695.0,4,10
100262,1.0,1,1,low,40.7592,6856770,-73.9903,5,2150.0,4,11
100263,2.0,2,2,low,40.7779,6925656,-73.9525,4,6475.0,4,26
100264,1.0,1,11,medium,40.7064,6838450,-74.01,8,2750.0,4,7
100265,2.0,4,13,high,40.7108,6931557,-73.9878,4,5300.0,4,27
100270,1.0,1,4,medium,40.7856,6873855,-73.9794,3,2195.0,4,14
100274,2.0,4,1,medium,40.7281,6882012,-73.9812,10,5900.0,4,16
100276,1.0,0,3,medium,40.7393,6899273,-73.9817,7,2500.0,4,20
